,Regio,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,latitude,longitude
96,Borsele,75997.0,82475.0,92269.0,100712.0,115879.0,133165.0,146516.0,166049.0,179881.0,201960.0,202207.0,208432.0,221441.0,228353.0,217215.0,223962.0,201521.0,189437.0,184496.0,189830.0,198139.0,198956.0,207747.0,228958.0,241363.0,259279.0,297555.0,51.42891125,3.835884414489532
97,Boskoop,114015.0,117271.0,133482.0,151753.0,185106.0,194198.0,219981.0,216969.0,242609.0,230619.0,243589.0,261136.0,264345.0,287562.0,237098.0,253213.0,272321.0,217005.0,224321.0,,,,,,,,,52.0742348,4.6631166
98,Boxmeer,113374.0,116946.0,143646.0,145874.0,168802.0,193885.0,218754.0,228603.0,252918.0,244859.0,267002.0,277408.0,286030.0,277639.0,243103.0,263856.0,247226.0,256254.0,233350.0,212156.0,232398.0,237758.0,243723.0,263418.0,293693.0,306240.0,376130.0,51.6486483,5.9450972
99,Boxtel,100616.0,120629.0,127662.0,152866.0,153102.0,199043.0,235002.0,248297.0,281566.0,282726.0,272690.0,281068.0,308775.0,297264.0,273632.0,285257.0,256555.0,264603.0,231205.0,242196.0,246872.0,268053.0,282739.0,296677.0,337626.0,318532.0,404430.0,51.5890603,5.315795445406877
101,Breda,99267.0,107490.0,124932.0,127866.0,149779.0,166012.0,197668.0,202877.0,219811.0,221867.0,232403.0,253467.0,265794.0,286107.0,267302.0,268988.0,266000.0,256421.0,240122.0,244255.0,246592.0,266550.0,295568.0,329476.0,349971.0,378935.0,427348.0,51.5887845,4.7760237
103,Breukelen,120455.0,125749.0,145535.0,171441.0,213263.0,241491.0,253187.0,273475.0,270878.0,290166.0,305980.0,311205.0,344808.0,403967.0,309267.0,319120.0,,,,,,,,,,,,52.171959,5.002675
104,Brielle,101722.0,110111.0,119275.0,137338.0,150595.0,162651.0,187107.0,194630.0,209828.0,223107.0,252594.0,256781.0,271182.0,261407.0,261902.0,244642.0,250943.0,248521.0,197048.0,179756.0,196047.0,220629.0,242999.0,274686.0,295460.0,330582.0,371768.0,51.907479,4.167086176739853
105,Broekhuizen,105026.0,91399.0,140111.0,151228.0,151884.0,179683.0,,,,,,,,,,,,,,,,,,,,,,51.4877108,6.1631772
106,Bronckhorst,,,,,,,,,,,253481.0,259806.0,297407.0,292280.0,286478.0,261511.0,267482.0,237681.0,227069.0,239751.0,239902.0,245747.0,276263.0,284826.0,312686.0,366813.0,424632.0,52.0529087,6.269274781349422
107,Brouwershaven,83319.0,94034.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.7268012,3.9098163
108,Bruinisse,77794.0,104703.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.6601211,4.0937229
109,Brummen,104497.0,119100.0,140491.0,154281.0,188951.0,236068.0,272114.0,249329.0,285533.0,270558.0,316946.0,288115.0,299368.0,332779.0,312503.0,312900.0,256583.0,254791.0,230802.0,239879.0,236020.0,247929.0,268532.0,294112.0,314125.0,351320.0,377695.0,52.110649800000004,6.1258772929109675
110,Brunssum,74695.0,84034.0,93215.0,80852.0,120394.0,135111.0,136424.0,148031.0,129840.0,143360.0,148063.0,159490.0,153075.0,156717.0,154040.0,140607.0,146524.0,146857.0,129739.0,135537.0,148880.0,149486.0,156069.0,170698.0,174186.0,203262.0,230838.0,50.9431108,5.9705675
111,Budel,96700.0,120566.0,123848.0,174847.0,,,,,,,,,,,,,,,,,,,,,,,,51.2744706,5.5744905
112,Bunnik,129565.0,137090.0,149952.0,178716.0,209495.0,243400.0,247976.0,266721.0,250476.0,278256.0,270461.0,320244.0,367885.0,326760.0,349080.0,307349.0,296279.0,277716.0,296590.0,271316.0,300792.0,339691.0,354780.0,402389.0,405915.0,441040.0,537433.0,52.039151849999996,5.220319799249577
113,Bunschoten,98266.0,99119.0,118626.0,136789.0,145091.0,179684.0,226341.0,224838.0,218498.0,229128.0,248689.0,268687.0,280351.0,274737.0,252229.0,263047.0,252160.0,241145.0,205432.0,220633.0,248750.0,251164.0,274301.0,311681.0,326403.0,363809.0,401056.0,52.2391743,5.3734101
114,Buren,127372.0,128788.0,153291.0,183919.0,190522.0,209714.0,269583.0,247508.0,260181.0,287002.0,281742.0,318817.0,336132.0,342651.0,285561.0,289948.0,294769.0,259137.0,262957.0,268619.0,274334.0,276091.0,298471.0,333707.0,324945.0,364958.0,429241.0,51.92963705,5.420000238944224
115,Bussum,133815.0,147692.0,175759.0,207038.0,241701.0,331210.0,316422.0,342642.0,339409.0,330863.0,344592.0,391828.0,426875.0,420403.0,367156.0,427680.0,474232.0,396800.0,345015.0,364937.0,373650.0,,,,,,,52.2773656,5.1630646
116,Capelle aan den IJssel,93988.0,100628.0,111030.0,117806.0,135306.0,159698.0,175498.0,188906.0,186793.0,194021.0,200432.0,208187.0,218685.0,213802.0,210447.0,208654.0,212824.0,207725.0,186584.0,188970.0,186794.0,195062.0,219934.0,247063.0,265359.0,294059.0,343101.0,51.9312552,4.5883596
117,Castricum,108697.0,116500.0,126587.0,137020.0,161936.0,187498.0,215814.0,252905.0,282695.0,257972.0,262738.0,307741.0,312795.0,332133.0,291663.0,276992.0,289709.0,263424.0,219334.0,237885.0,255876.0,258386.0,304792.0,338188.0,369741.0,395177.0,461120.0,52.558830549999996,4.639675526200153
118,Chaam,119386.0,125070.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5052547,4.8611725
119,Coevorden,71576.0,75983.0,71746.0,111111.0,129641.0,158862.0,171956.0,180720.0,177210.0,188093.0,188670.0,206556.0,212644.0,228372.0,201968.0,212365.0,205781.0,192977.0,178598.0,183627.0,188646.0,213934.0,211691.0,215837.0,236021.0,276626.0,312553.0,52.65266925,6.739318988174109
120,Cothen,116204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9987415,5.3118293
121,Cranendonck,,,,140345.0,180315.0,203770.0,205488.0,211803.0,213129.0,219045.0,219142.0,238526.0,262186.0,262454.0,274933.0,253464.0,259272.0,223959.0,221954.0,218315.0,225839.0,227420.0,247850.0,281567.0,283676.0,317322.0,344682.0,51.286919,5.5810952873530475
122,Cromstrijen,88522.0,105645.0,108430.0,125912.0,143772.0,176077.0,192091.0,213262.0,226532.0,247714.0,240006.0,279400.0,259783.0,291193.0,269748.0,254328.0,259632.0,243879.0,220878.0,223806.0,235866.0,243824.0,252515.0,270096.0,,,,51.7156971,4.4744733
